ACC_YEAR,SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,LAND_GBN,LAND_GBN_NM,BONBEON,BUBEON,BLDG_NM,DEAL_YMD,OBJ_AMT,BLDG_AREA,TOT_AREA,FLOOR,RIGHT_GBN,CNTL_YMD,BUILD_YEAR,HOUSE_TYPE,REQ_GBN,RDEALER_LAWDNM
2023,11620,관악구,10100,봉천동,1,대지,0649,0104,유엔I파크빌,2023-05-15,28000,62.94,43.4,4.0,,,2008,연립다세대,직거래,
2023,11380,은평구,10200,녹번동,1,대지,0282,0000,힐스테이트녹번,2023-05-15,84000,59.9,0.0,13.0,,,2019,아파트,중개거래,"서울 서대문구, 서울 은평구"
2023,11305,강북구,10100,미아동,1,대지,0158,0075,정우파크빌,2023-05-15,27000,40.19,26.56,4.0,,,2013,연립다세대,중개거래,서울 강북구
2023,11680,강남구,10500,삼성동,1,대지,0157,0008,LG트윈텔,2023-05-15,38900,42.18,55.88,5.0,,,2000,오피스텔,중개거래,서울 강남구
2023,11290,성북구,13900,석관동,1,대지,0410,0000,래미안아트리치,2023-05-15,78700,59.98,0.0,12.0,,,2019,아파트,중개거래,서울 성북구
2023,11260,중랑구,10600,신내동,1,대지,0479,0000,중앙하이츠,2023-05-15,57000,84.97,0.0,10.0,,,1996,아파트,중개거래,서울 중랑구
2023,11620,관악구,10100,봉천동,1,대지,1703,0000,봉천동아,2023-05-15,75500,114.69,0.0,11.0,,,2000,아파트,중개거래,서울 관악구
2023,11350,노원구,10200,월계동,1,대지,0556,0000,주공2,2023-05-15,32500,38.64,0.0,12.0,,,1992,아파트,중개거래,서울 노원구
2023,11560,영등포구,10800,영등포동7가,1,대지,0064,0041,ks빌리지(64-41),2023-05-15,35000,36.04,20.73,1.0,,,2003,연립다세대,중개거래,서울 영등포구
2023,11500,강서구,10200,등촌동,1,대지,0078,0007,길훈엔트런스빌,2023-05-15,16450,27.29,40.42,11.0,,,2004,오피스텔,직거래,
2023,11380,은평구,10400,갈현동,1,대지,0327,0075,중앙하이스,2023-05-15,25000,70.48,38.65,-1.0,,,2008,연립다세대,중개거래,서울 은평구
2023,11230,동대문구,10600,장안동,1,대지,0342,0011,르.메이에르 장안타운Ⅱ,2023-05-15,9000,24.19,35.28,2.0,,,2005,오피스텔,중개거래,서울 동대문구
2023,11230,동대문구,10600,장안동,1,대지,0415,0001,양지 쉐르빌아파트,2023-05-15,33500,72.0,91.28,2.0,,,2016,오피스텔,중개거래,서울 동대문구
